id;nombre;descripcion;estado
1;Chief Creek payment;back-end e-tailers copy;Inactivo
2;yellow sensor;Chair Consultant Awesome;Inactivo
3;matrix Seychelles Rupee Communications;global;Activo
4;syndicate overriding Fresh;Central;Activo
5;SQL Tasty Frozen Pizza Rustic;Granite;Activo
6;Home Loan Account Tactics front-end;front-end architecture port;Inactivo
7;withdrawal;Maryland;Inactivo
8;Minnesota Programmable;Bosnia and Herzegovina;Activo
9;firewall Cambridgeshire Regional;JBOD;Activo
10;Awesome Wooden Chair Small;streamline Product;Activo
